ts_code,symbol,name,enname,aliases
1101.TW,1101.TW,台泥,,
1102.TW,1102.TW,亞泥,,
1103.TW,1103.TW,嘉泥,,
1104.TW,1104.TW,環泥,,
1108.TW,1108.TW,幸福,,
1109.TW,1109.TW,信大,,
1110.TW,1110.TW,東泥,,
1201.TW,1201.TW,味全,,
1203.TW,1203.TW,味王,,
1210.TW,1210.TW,大成,,
1213.TW,1213.TW,大飲,,
1215.TW,1215.TW,卜蜂,,
1216.TW,1216.TW,統一,,统一|Uni-President
1217.TW,1217.TW,愛之味,,
1218.TW,1218.TW,泰山,,
1219.TW,1219.TW,福壽,,
1220.TW,1220.TW,台榮,,
1225.TW,1225.TW,福懋油,,
1227.TW,1227.TW,佳格,,
1229.TW,1229.TW,聯華,,
1231.TW,1231.TW,聯華食,,
1232.TW,1232.TW,大統益,,
1233.TW,1233.TW,天仁,,
1234.TW,1234.TW,黑松,,
1235.TW,1235.TW,興泰,,
1236.TW,1236.TW,宏亞,,
1256.TW,1256.TW,鮮活果汁-KY,,
1301.TW,1301.TW,台塑,,台塑|Formosa Plastics
1303.TW,1303.TW,南亞,,南亚|Nan Ya
1304.TW,1304.TW,台聚,,
1305.TW,1305.TW,華夏,,
1307.TW,1307.TW,三芳,,
1308.TW,1308.TW,亞聚,,
1309.TW,1309.TW,台達化,,
1310.TW,1310.TW,台苯,,
1312.TW,1312.TW,國喬,,
1313.TW,1313.TW,聯成,,
1314.TW,1314.TW,中石化,,
1315.TW,1315.TW,達新,,
1316.TW,1316.TW,上曜,,
1319.TW,1319.TW,東陽,,
1321.TW,1321.TW,大洋,,
1323.TW,1323.TW,永裕,,
1324.TW,1324.TW,地球,,
1325.TW,1325.TW,恆大,,
1326.TW,1326.TW,台化,,
1337.TW,1337.TW,再生-KY,,
1338.TW,1338.TW,廣華-KY,,
1339.TW,1339.TW,昭輝,,
1340.TW,1340.TW,勝悅-KY,,
1341.TW,1341.TW,富林-KY,,
1342.TW,1342.TW,八貫,,
1402.TW,1402.TW,遠東新,,
1409.TW,1409.TW,新纖,,
1410.TW,1410.TW,南染,,
1413.TW,1413.TW,宏洲,,
1414.TW,1414.TW,東和,,
1416.TW,1416.TW,廣豐,,
1417.TW,1417.TW,嘉裕,,
1418.TW,1418.TW,東華,,
1419.TW,1419.TW,新紡,,
1423.TW,1423.TW,利華,,
1432.TW,1432.TW,大魯閣,,
1434.TW,1434.TW,福懋,,
1435.TW,1435.TW,中福,,
1436.TW,1436.TW,華友聯,,
1437.TW,1437.TW,勤益控,,
1438.TW,1438.TW,三地開發,,
1439.TW,1439.TW,雋揚,,
1440.TW,1440.TW,南紡,,
1441.TW,1441.TW,大東,,
1442.TW,1442.TW,名軒,,
1443.TW,1443.TW,立益物流,,
1444.TW,1444.TW,力麗,,
1445.TW,1445.TW,大宇,,
1446.TW,1446.TW,宏和,,
1447.TW,1447.TW,力鵬,,
1449.TW,1449.TW,佳和,,
1451.TW,1451.TW,年興,,
1452.TW,1452.TW,宏益,,
1453.TW,1453.TW,大將,,
1454.TW,1454.TW,台富,,
1455.TW,1455.TW,集盛,,
1456.TW,1456.TW,怡華,,
1457.TW,1457.TW,宜進,,
1459.TW,1459.TW,聯發,,
1460.TW,1460.TW,宏遠,,
1463.TW,1463.TW,強盛新,,
1464.TW,1464.TW,得力,,
1465.TW,1465.TW,偉全,,
1466.TW,1466.TW,聚隆,,
1467.TW,1467.TW,南緯,,
1468.TW,1468.TW,昶和,,
1470.TW,1470.TW,大統新創,,
1471.TW,1471.TW,首利,,
1472.TW,1472.TW,三洋實業,,
1473.TW,1473.TW,台南,,
1474.TW,1474.TW,弘裕,,
1475.TW,1475.TW,業旺,,
1476.TW,1476.TW,儒鴻,,
1477.TW,1477.TW,聚陽,,
1503.TW,1503.TW,士電,,
1504.TW,1504.TW,東元,,
1506.TW,1506.TW,正道,,
1512.TW,1512.TW,瑞利,,
1513.TW,1513.TW,中興電,,
1514.TW,1514.TW,亞力,,
1515.TW,1515.TW,力山,,
1516.TW,1516.TW,川飛,,
1517.TW,1517.TW,利奇,,
1519.TW,1519.TW,華城,,
1521.TW,1521.TW,大億,,
1522.TW,1522.TW,堤維西,,
1524.TW,1524.TW,耿鼎,,
1525.TW,1525.TW,江申,,
1526.TW,1526.TW,日馳,,
1527.TW,1527.TW,鑽全,,
1528.TW,1528.TW,恩德,,
1529.TW,1529.TW,樂事綠能,,
1530.TW,1530.TW,亞崴,,
1531.TW,1531.TW,高林股,,
1532.TW,1532.TW,勤美,,
1533.TW,1533.TW,車王電,,
1535.TW,1535.TW,中宇,,
1536.TW,1536.TW,和大,,
1537.TW,1537.TW,廣隆,,
1538.TW,1538.TW,正峰,,
1539.TW,1539.TW,巨庭,,
1540.TW,1540.TW,喬福,,
1541.TW,1541.TW,錩泰,,
1558.TW,1558.TW,伸興,,
1560.TW,1560.TW,中砂,,
1563.TW,1563.TW,巧新,,
